,I-95 North,I-95 South,95 Express North,95 Express South,I-195 East,SR 826 North,SR 826 South,SR 836 East,SR 836 West,US-1 North,US-1 South
2019-07-22 11:00:00+00:00,1,0,0,0,0,0,0,0,0,0,0
2019-07-22 12:00:00+00:00,1,0,0,0,0,0,0,1,0,0,0
2019-07-22 13:00:00+00:00,1,0,0,0,0,0,0,0,0,0,0
2019-07-22 14:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 15:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 16:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 17:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 18:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 19:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-22 20:00:00+00:00,0,0,0,1,0,0,0,0,0,0,0
2019-07-22 21:00:00+00:00,0,0,1,0,0,0,0,0,0,0,0
2019-07-22 22:00:00+00:00,0,0,1,0,0,0,0,1,0,0,0
2019-07-22 23:00:00+00:00,0,0,1,0,0,0,0,0,0,0,0
2019-07-23 00:00:00+00:00,1,0,0,0,0,0,0,0,0,0,0
2019-07-23 12:00:00+00:00,1,1,0,0,0,0,0,0,0,0,0
2019-07-23 13:00:00+00:00,1,1,0,1,0,0,0,0,0,0,0
2019-07-23 14:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0
2019-07-23 15:00:00+00:00,0,1,0,1,0,0,0,0,0,0,0
2019-07-23 16:00:00+00:00,1,0,0,1,0,0,0,0,0,0,0
2019-07-23 17:00:00+00:00,0,1,0,0,0,0,0,0,0,0,1
2019-07-23 18:00:00+00:00,0,0,1,0,0,0,0,0,0,0,0
2019-07-23 19:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-23 20:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0
2019-07-23 21:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-23 22:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0
2019-07-23 23:00:00+00:00,0,0,1,0,0,1,0,0,0,0,0
2019-07-24 00:00:00+00:00,0,0,1,0,0,1,0,0,0,0,0
2019-07-24 12:00:00+00:00,1,1,1,0,0,1,0,0,0,0,0
2019-07-24 13:00:00+00:00,1,1,1,0,0,0,1,0,0,0,0
2019-07-24 14:00:00+00:00,1,0,0,0,0,0,1,0,0,0,0
2019-07-24 15:00:00+00:00,0,0,0,0,0,0,1,0,0,0,0
2019-07-24 16:00:00+00:00,0,0,0,0,0,0,1,0,0,0,0
2019-07-24 17:00:00+00:00,0,1,0,0,0,0,1,0,0,0,0
2019-07-24 18:00:00+00:00,0,0,0,0,0,1,0,0,0,0,0
2019-07-24 19:00:00+00:00,0,0,0,0,0,1,0,0,0,0,1
2019-07-24 20:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-24 21:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0
2019-07-24 22:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0
2019-07-24 23:00:00+00:00,1,0,0,0,0,0,0,1,0,0,0
2019-07-25 00:00:00+00:00,1,0,0,1,0,0,1,1,0,0,0
2019-07-25 13:00:00+00:00,1,1,1,0,0,1,1,1,1,0,0
2019-07-25 14:00:00+00:00,0,0,0,0,0,1,1,1,1,0,0
2019-07-25 15:00:00+00:00,0,0,0,0,0,1,1,1,1,0,0
2019-07-25 16:00:00+00:00,0,0,0,0,0,0,1,0,0,0,0
2019-07-25 17:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-25 18:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-25 19:00:00+00:00,0,0,0,0,0,1,0,0,1,0,0
2019-07-25 20:00:00+00:00,0,0,0,0,0,0,0,1,1,0,0
2019-07-25 21:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0
2019-07-25 22:00:00+00:00,0,0,0,0,0,0,0,1,0,0,0
2019-07-25 23:00:00+00:00,0,1,0,0,0,0,0,0,0,0,0
2019-07-26 00:00:00+00:00,0,0,1,0,0,0,0,1,0,0,1
2019-07-26 12:00:00+00:00,1,1,1,0,1,0,0,0,0,1,0
2019-07-26 13:00:00+00:00,1,1,1,0,1,0,0,0,0,0,0
2019-07-26 14:00:00+00:00,0,0,0,0,1,0,1,0,0,0,0
2019-07-26 15:00:00+00:00,0,0,0,0,1,0,1,0,0,0,0
2019-07-26 16:00:00+00:00,0,0,0,0,1,0,1,0,0,0,0
2019-07-26 17:00:00+00:00,0,0,0,0,0,0,0,0,0,0,0
2019-07-26 18:00:00+00:00,0,0,0,1,1,0,0,0,0,0,0
2019-07-26 19:00:00+00:00,0,0,0,0,0,1,0,0,0,0,1
